embedding_feature,mse,r2,n_vars_used,used_vars
feature_18489,4.001819267247245e-05,0.27703851593743056,17,"['f0semitonefrom27.5hz_sma3nz_meanrisingslope', 'f0semitonefrom27.5hz_sma3nz_stddevrisingslope', 'f0semitonefrom27.5hz_sma3nz_meanfallingslope', 'mfcc1_sma3_amean', 'mfcc2_sma3_amean', 'logrelf0-h1-h2_sma3nz_stddevnorm', 'f1frequency_sma3nz_amean', 'f1bandwidth_sma3nz_amean', 'f2frequency_sma3nz_amean', 'f2bandwidth_sma3nz_amean', 'f2amplitudelogrelf0_sma3nz_amean', 'f3frequency_sma3nz_amean', 'f3bandwidth_sma3nz_amean', 'slopev500-1500_sma3nz_stddevnorm', 'mfcc2v_sma3nz_amean', 'mfcc3v_sma3nz_stddevnorm', 'mfcc4v_sma3nz_stddevnorm']"
feature_12383,6.684002753866401e-05,0.27736857788305724,15,"['f0semitonefrom27.5hz_sma3nz_stddevfallingslope', 'mfcc4_sma3_stddevnorm', 'f1frequency_sma3nz_amean', 'f1bandwidth_sma3nz_amean', 'f2frequency_sma3nz_amean', 'f2bandwidth_sma3nz_amean', 'f3frequency_sma3nz_amean', 'f3bandwidth_sma3nz_amean', 'f3amplitudelogrelf0_sma3nz_amean', 'slopev500-1500_sma3nz_stddevnorm', 'mfcc2v_sma3nz_stddevnorm', 'mfcc3v_sma3nz_stddevnorm', 'mfcc4v_sma3nz_amean', 'hammarbergindexuv_sma3nz_amean', 'equivalentsoundlevel_dbp']"
feature_4283,8.632413889714003e-05,0.42027028218021534,12,"['f0semitonefrom27.5hz_sma3nz_meanrisingslope', 'mfcc1_sma3_amean', 'mfcc2_sma3_amean', 'logrelf0-h1-h2_sma3nz_stddevnorm', 'f1frequency_sma3nz_amean', 'f2bandwidth_sma3nz_amean', 'f2amplitudelogrelf0_sma3nz_amean', 'f3frequency_sma3nz_amean', 'f3bandwidth_sma3nz_amean', 'slopev500-1500_sma3nz_stddevnorm', 'mfcc2v_sma3nz_stddevnorm', 'mfcc3v_sma3nz_stddevnorm']"
feature_7902,8.705266119565574e-05,0.2382319165047343,6,"['f0semitonefrom27.5hz_sma3nz_meanrisingslope', 'f2frequency_sma3nz_amean', 'f2amplitudelogrelf0_sma3nz_amean', 'f3frequency_sma3nz_amean', 'slopev500-1500_sma3nz_stddevnorm', 'mfcc4v_sma3nz_stddevnorm']"
feature_2076,9.167089312928755e-05,0.13917628156285855,18,"['f0semitonefrom27.5hz_sma3nz_meanrisingslope', 'f0semitonefrom27.5hz_sma3nz_stddevrisingslope', 'f0semitonefrom27.5hz_sma3nz_stddevfallingslope', 'mfcc2_sma3_stddevnorm', 'mfcc4_sma3_stddevnorm', 'f1frequency_sma3nz_amean', 'f1bandwidth_sma3nz_amean', 'f2bandwidth_sma3nz_amean', 'f2amplitudelogrelf0_sma3nz_amean', 'f3frequency_sma3nz_amean', 'f3bandwidth_sma3nz_amean', 'slopev500-1500_sma3nz_stddevnorm', 'mfcc2v_sma3nz_stddevnorm', 'mfcc3v_sma3nz_stddevnorm', 'mfcc4v_sma3nz_amean', 'mfcc4v_sma3nz_stddevnorm', 'hammarbergindexuv_sma3nz_amean', 'equivalentsoundlevel_dbp']"
feature_30181,0.00010003209087381731,0.06389079506715944,27,"['f0semitonefrom27.5hz_sma3nz_percentile20.0', 'f0semitonefrom27.5hz_sma3nz_pctlrange0-2', 'f0semitonefrom27.5hz_sma3nz_meanrisingslope', 'f0semitonefrom27.5hz_sma3nz_stddevrisingslope', 'f0semitonefrom27.5hz_sma3nz_meanfallingslope', 'f0semitonefrom27.5hz_sma3nz_stddevfallingslope', 'loudness_sma3_meanrisingslope', 'mfcc2_sma3_amean', 'mfcc2_sma3_stddevnorm', 'mfcc4_sma3_amean', 'mfcc4_sma3_stddevnorm', 'logrelf0-h1-h2_sma3nz_stddevnorm', 'logrelf0-h1-a3_sma3nz_amean', 'f1frequency_sma3nz_amean', 'f1bandwidth_sma3nz_amean', 'f2frequency_sma3nz_amean', 'f2bandwidth_sma3nz_amean', 'f3frequency_sma3nz_amean', 'f3bandwidth_sma3nz_amean', 'f3amplitudelogrelf0_sma3nz_amean', 'slopev500-1500_sma3nz_stddevnorm', 'mfcc2v_sma3nz_amean', 'mfcc2v_sma3nz_stddevnorm', 'mfcc3v_sma3nz_amean', 'mfcc3v_sma3nz_stddevnorm', 'mfcc4v_sma3nz_stddevnorm', 'equivalentsoundlevel_dbp']"
feature_4089,0.00010343237745662751,0.1071914687548392,6,"['f1amplitudelogrelf0_sma3nz_amean', 'f2bandwidth_sma3nz_amean', 'f3frequency_sma3nz_amean', 'slopev500-1500_sma3nz_stddevnorm', 'mfcc2v_sma3nz_stddevnorm', 'mfcc3v_sma3nz_stddevnorm']"
feature_141829,0.00015646476251451313,0.2778700493360001,26,"['f0semitonefrom27.5hz_sma3nz_stddevrisingslope', 'f0semitonefrom27.5hz_sma3nz_meanfallingslope', 'f0semitonefrom27.5hz_sma3nz_stddevfallingslope', 'mfcc1_sma3_amean', 'mfcc1_sma3_stddevnorm', 'mfcc2_sma3_amean', 'mfcc2_sma3_stddevnorm', 'mfcc3_sma3_amean', 'mfcc3_sma3_stddevnorm', 'mfcc4_sma3_stddevnorm', 'logrelf0-h1-h2_sma3nz_stddevnorm', 'logrelf0-h1-a3_sma3nz_amean', 'f1frequency_sma3nz_amean', 'f1bandwidth_sma3nz_amean', 'f2frequency_sma3nz_amean', 'f2bandwidth_sma3nz_amean', 'f3frequency_sma3nz_amean', 'f3bandwidth_sma3nz_amean', 'f3amplitudelogrelf0_sma3nz_amean', 'slopev500-1500_sma3nz_stddevnorm', 'mfcc1v_sma3nz_amean', 'mfcc3v_sma3nz_stddevnorm', 'mfcc4v_sma3nz_amean', 'mfcc4v_sma3nz_stddevnorm', 'hammarbergindexuv_sma3nz_amean', 'equivalentsoundlevel_dbp']"
feature_123357,0.00015761213109743278,0.09333415005267798,7,"['f0semitonefrom27.5hz_sma3nz_stddevrisingslope', 'f0semitonefrom27.5hz_sma3nz_meanfallingslope', 'f2frequency_sma3nz_amean', 'f2bandwidth_sma3nz_amean', 'f2amplitudelogrelf0_sma3nz_amean', 'f3frequency_sma3nz_amean', 'f3bandwidth_sma3nz_amean']"
feature_97204,0.00026733868621140757,0.4494385157890559,13,"['f0semitonefrom27.5hz_sma3nz_meanrisingslope', 'mfcc1_sma3_amean', 'mfcc2_sma3_amean', 'f1frequency_sma3nz_amean', 'f1bandwidth_sma3nz_amean', 'f1amplitudelogrelf0_sma3nz_amean', 'f2frequency_sma3nz_amean', 'f2bandwidth_sma3nz_amean', 'f3frequency_sma3nz_amean', 'f3bandwidth_sma3nz_amean', 'slopev500-1500_sma3nz_stddevnorm', 'mfcc3v_sma3nz_stddevnorm', 'mfcc4v_sma3nz_stddevnorm']"
feature_143867,0.00027432304287920917,0.1301231200664449,12,"['f0semitonefrom27.5hz_sma3nz_meanrisingslope', 'mfcc4_sma3_stddevnorm', 'logrelf0-h1-h2_sma3nz_stddevnorm', 'f2frequency_sma3nz_amean', 'f2amplitudelogrelf0_sma3nz_amean', 'f3frequency_sma3nz_amean', 'f3bandwidth_sma3nz_amean', 'slopev500-1500_sma3nz_stddevnorm', 'mfcc2v_sma3nz_stddevnorm', 'mfcc4v_sma3nz_amean', 'mfcc4v_sma3nz_stddevnorm', 'equivalentsoundlevel_dbp']"
feature_147608,0.0002863285462832226,0.5087464560715509,15,"['f0semitonefrom27.5hz_sma3nz_meanrisingslope', 'f0semitonefrom27.5hz_sma3nz_stddevrisingslope', 'f0semitonefrom27.5hz_sma3nz_meanfallingslope', 'f0semitonefrom27.5hz_sma3nz_stddevfallingslope', 'mfcc1_sma3_amean', 'mfcc2_sma3_amean', 'mfcc4_sma3_stddevnorm', 'f1frequency_sma3nz_amean', 'f2bandwidth_sma3nz_amean', 'f2amplitudelogrelf0_sma3nz_amean', 'f3frequency_sma3nz_amean', 'f3bandwidth_sma3nz_amean', 'slopev500-1500_sma3nz_stddevnorm', 'mfcc3v_sma3nz_stddevnorm', 'mfcc4v_sma3nz_stddevnorm']"
feature_92993,0.00029440573834546666,0.11821249695335545,28,"['f0semitonefrom27.5hz_sma3nz_percentile20.0', 'f0semitonefrom27.5hz_sma3nz_meanrisingslope', 'f0semitonefrom27.5hz_sma3nz_stddevrisingslope', 'f0semitonefrom27.5hz_sma3nz_meanfallingslope', 'f0semitonefrom27.5hz_sma3nz_stddevfallingslope', 'mfcc1_sma3_amean', 'mfcc1_sma3_stddevnorm', 'mfcc2_sma3_amean', 'mfcc2_sma3_stddevnorm', 'mfcc3_sma3_amean', 'mfcc4_sma3_stddevnorm', 'logrelf0-h1-h2_sma3nz_amean', 'logrelf0-h1-h2_sma3nz_stddevnorm', 'f1frequency_sma3nz_amean', 'f1bandwidth_sma3nz_amean', 'f2frequency_sma3nz_amean', 'f2bandwidth_sma3nz_amean', 'f3frequency_sma3nz_amean', 'f3bandwidth_sma3nz_amean', 'f3amplitudelogrelf0_sma3nz_amean', 'slopev0-500_sma3nz_stddevnorm', 'slopev500-1500_sma3nz_stddevnorm', 'mfcc1v_sma3nz_amean', 'mfcc2v_sma3nz_stddevnorm', 'mfcc3v_sma3nz_stddevnorm', 'mfcc4v_sma3nz_stddevnorm', 'hammarbergindexuv_sma3nz_amean', 'equivalentsoundlevel_dbp']"
feature_31067,0.0003049217060614455,0.2541886242085989,34,"['f0semitonefrom27.5hz_sma3nz_percentile80.0', 'f0semitonefrom27.5hz_sma3nz_meanrisingslope', 'f0semitonefrom27.5hz_sma3nz_stddevrisingslope', 'f0semitonefrom27.5hz_sma3nz_meanfallingslope', 'f0semitonefrom27.5hz_sma3nz_stddevfallingslope', 'spectralflux_sma3_stddevnorm', 'mfcc1_sma3_amean', 'mfcc1_sma3_stddevnorm', 'mfcc2_sma3_amean', 'mfcc2_sma3_stddevnorm', 'mfcc3_sma3_amean', 'mfcc3_sma3_stddevnorm', 'mfcc4_sma3_stddevnorm', 'logrelf0-h1-h2_sma3nz_amean', 'logrelf0-h1-h2_sma3nz_stddevnorm', 'logrelf0-h1-a3_sma3nz_amean', 'f1frequency_sma3nz_amean', 'f1bandwidth_sma3nz_amean', 'f1amplitudelogrelf0_sma3nz_amean', 'f2frequency_sma3nz_amean', 'f2bandwidth_sma3nz_amean', 'f2amplitudelogrelf0_sma3nz_amean', 'f3bandwidth_sma3nz_amean', 'slopev0-500_sma3nz_stddevnorm', 'slopev500-1500_sma3nz_stddevnorm', 'mfcc1v_sma3nz_amean', 'mfcc2v_sma3nz_stddevnorm', 'mfcc3v_sma3nz_amean', 'mfcc3v_sma3nz_stddevnorm', 'mfcc4v_sma3nz_amean', 'mfcc4v_sma3nz_stddevnorm', 'alpharatiouv_sma3nz_amean', 'hammarbergindexuv_sma3nz_amean', 'equivalentsoundlevel_dbp']"
feature_93465,0.00037639622358211396,0.03221953109897924,6,"['f0semitonefrom27.5hz_sma3nz_meanfallingslope', 'f1bandwidth_sma3nz_amean', 'f2bandwidth_sma3nz_amean', 'f2amplitudelogrelf0_sma3nz_amean', 'f3frequency_sma3nz_amean', 'slopev500-1500_sma3nz_stddevnorm']"
feature_127153,0.0003939359102816472,0.4710102032293092,11,"['f0semitonefrom27.5hz_sma3nz_meanrisingslope', 'f0semitonefrom27.5hz_sma3nz_meanfallingslope', 'mfcc1_sma3_amean', 'mfcc2_sma3_amean', 'f1bandwidth_sma3nz_amean', 'f2frequency_sma3nz_amean', 'f2bandwidth_sma3nz_amean', 'f2amplitudelogrelf0_sma3nz_amean', 'f3frequency_sma3nz_amean', 'mfcc3v_sma3nz_stddevnorm', 'equivalentsoundlevel_dbp']"
feature_41055,0.00044347230697064594,0.06992962813543191,12,"['f0semitonefrom27.5hz_sma3nz_meanrisingslope', 'f0semitonefrom27.5hz_sma3nz_stddevrisingslope', 'f0semitonefrom27.5hz_sma3nz_meanfallingslope', 'logrelf0-h1-h2_sma3nz_stddevnorm', 'f1bandwidth_sma3nz_amean', 'f2bandwidth_sma3nz_amean', 'f2amplitudelogrelf0_sma3nz_amean', 'f3frequency_sma3nz_amean', 'f3bandwidth_sma3nz_amean', 'slopev500-1500_sma3nz_stddevnorm', 'mfcc2v_sma3nz_stddevnorm', 'equivalentsoundlevel_dbp']"
feature_141090,0.0004715078669500108,0.18333558069272649,15,"['f0semitonefrom27.5hz_sma3nz_meanrisingslope', 'f0semitonefrom27.5hz_sma3nz_meanfallingslope', 'f0semitonefrom27.5hz_sma3nz_stddevfallingslope', 'logrelf0-h1-h2_sma3nz_stddevnorm', 'f1frequency_sma3nz_amean', 'f1bandwidth_sma3nz_amean', 'f2bandwidth_sma3nz_amean', 'f3frequency_sma3nz_amean', 'f3bandwidth_sma3nz_amean', 'slopev500-1500_sma3nz_stddevnorm', 'mfcc2v_sma3nz_stddevnorm', 'mfcc3v_sma3nz_stddevnorm', 'mfcc4v_sma3nz_amean', 'mfcc4v_sma3nz_stddevnorm', 'equivalentsoundlevel_dbp']"
feature_10843,0.0005522145099957996,0.28571580213677805,15,"['f0semitonefrom27.5hz_sma3nz_stddevrisingslope', 'f0semitonefrom27.5hz_sma3nz_stddevfallingslope', 'loudness_sma3_meanrisingslope', 'mfcc4_sma3_stddevnorm', 'f1frequency_sma3nz_amean', 'f1bandwidth_sma3nz_amean', 'f2frequency_sma3nz_amean', 'f2bandwidth_sma3nz_amean', 'f2amplitudelogrelf0_sma3nz_amean', 'f3frequency_sma3nz_amean', 'f3bandwidth_sma3nz_amean', 'slopev500-1500_sma3nz_stddevnorm', 'mfcc2v_sma3nz_amean', 'mfcc2v_sma3nz_stddevnorm', 'mfcc4v_sma3nz_stddevnorm']"
feature_14488,0.000571663984077776,0.001398458051746987,1,['f3frequency_sma3nz_amean']
feature_51807,0.0005744906187990883,0.5021571875884028,25,"['f0semitonefrom27.5hz_sma3nz_meanrisingslope', 'f0semitonefrom27.5hz_sma3nz_stddevrisingslope', 'f0semitonefrom27.5hz_sma3nz_stddevfallingslope', 'mfcc1_sma3_amean', 'mfcc1_sma3_stddevnorm', 'mfcc2_sma3_amean', 'mfcc2_sma3_stddevnorm', 'mfcc3_sma3_stddevnorm', 'mfcc4_sma3_stddevnorm', 'logrelf0-h1-h2_sma3nz_stddevnorm', 'f1bandwidth_sma3nz_amean', 'f2frequency_sma3nz_amean', 'f2bandwidth_sma3nz_amean', 'f3frequency_sma3nz_amean', 'f3bandwidth_sma3nz_amean', 'f3amplitudelogrelf0_sma3nz_amean', 'slopev0-500_sma3nz_stddevnorm', 'slopev500-1500_sma3nz_stddevnorm', 'mfcc1v_sma3nz_amean', 'mfcc2v_sma3nz_stddevnorm', 'mfcc3v_sma3nz_stddevnorm', 'mfcc4v_sma3nz_amean', 'mfcc4v_sma3nz_stddevnorm', 'hammarbergindexuv_sma3nz_amean', 'equivalentsoundlevel_dbp']"
feature_120495,0.0006407387345546754,0.03970352771973307,18,"['f0semitonefrom27.5hz_sma3nz_meanfallingslope', 'f0semitonefrom27.5hz_sma3nz_stddevfallingslope', 'mfcc2_sma3_amean', 'mfcc3_sma3_stddevnorm', 'mfcc4_sma3_stddevnorm', 'logrelf0-h1-h2_sma3nz_stddevnorm', 'f1frequency_sma3nz_amean', 'f1bandwidth_sma3nz_amean', 'f1amplitudelogrelf0_sma3nz_amean', 'f2bandwidth_sma3nz_amean', 'f2amplitudelogrelf0_sma3nz_amean', 'f3frequency_sma3nz_amean', 'f3bandwidth_sma3nz_amean', 'slopev0-500_sma3nz_stddevnorm', 'slopev500-1500_sma3nz_stddevnorm', 'mfcc2v_sma3nz_stddevnorm', 'mfcc3v_sma3nz_stddevnorm', 'mfcc4v_sma3nz_amean']"
feature_103304,0.0007185190280455598,0.036949859469209256,25,"['f0semitonefrom27.5hz_sma3nz_meanrisingslope', 'f0semitonefrom27.5hz_sma3nz_stddevrisingslope', 'f0semitonefrom27.5hz_sma3nz_meanfallingslope', 'mfcc1_sma3_amean', 'mfcc1_sma3_stddevnorm', 'mfcc2_sma3_amean', 'mfcc4_sma3_amean', 'mfcc4_sma3_stddevnorm', 'logrelf0-h1-h2_sma3nz_stddevnorm', 'f1frequency_sma3nz_amean', 'f1bandwidth_sma3nz_amean', 'f1amplitudelogrelf0_sma3nz_amean', 'f2frequency_sma3nz_amean', 'f2bandwidth_sma3nz_amean', 'f2amplitudelogrelf0_sma3nz_amean', 'f3frequency_sma3nz_amean', 'f3bandwidth_sma3nz_amean', 'slopev0-500_sma3nz_stddevnorm', 'slopev500-1500_sma3nz_stddevnorm', 'mfcc2v_sma3nz_stddevnorm', 'mfcc3v_sma3nz_stddevnorm', 'mfcc4v_sma3nz_amean', 'mfcc4v_sma3nz_stddevnorm', 'hammarbergindexuv_sma3nz_amean', 'equivalentsoundlevel_dbp']"
