embedding_feature,mse,r2,n_vars_used,used_vars
feature_18489,5.529051537621279e-05,0.0011314759232613492,2,"['pcm_fftmag_spectralvariance_sma_lpgain', 'pcm_fftmag_spectralvariance_sma_de_lpgain']"
feature_12383,9.107515865685062e-05,0.015353915261992146,2,"['pcm_fftmag_spectralvariance_sma_lpgain', 'pcm_fftmag_spectralvariance_sma_de_lpgain']"
feature_2076,0.00010429830943679269,0.020600154626362444,2,"['pcm_fftmag_spectralvariance_sma_lpgain', 'pcm_fftmag_spectralvariance_sma_de_lpgain']"
feature_30181,0.00010610602118312753,0.007050414915172554,5,"['pcm_fftmag_spectralvariance_sma_lpgain', 'pcm_fftmag_spectralvariance_sma_de_lpgain', 'pcm_fftmag_spectralvariance_sma_meanrisingslope', 'pcm_fftmag_spectralvariance_sma_stddevrisingslope', 'pcm_fftmag_spectralvariance_sma_stddevfallingslope']"
feature_7902,0.00011409428834759417,0.001599880135079168,1,['pcm_fftmag_spectralvariance_sma_lpgain']
feature_4089,0.00011561950913276509,0.0019944753237792767,2,"['pcm_fftmag_spectralvariance_sma_lpgain', 'pcm_fftmag_spectralvariance_sma_de_lpgain']"
feature_4283,0.00014822906559267522,0.0045334310125512145,2,"['pcm_fftmag_spectralvariance_sma_lpgain', 'pcm_fftmag_spectralvariance_sma_de_lpgain']"
feature_123357,0.00017318436704186137,0.0037546586783268054,1,['pcm_fftmag_spectralvariance_sma_lpgain']
feature_141829,0.0002091790204808001,0.034578563810923835,2,"['pcm_fftmag_spectralvariance_sma_lpgain', 'pcm_fftmag_spectralvariance_sma_de_lpgain']"
feature_143867,0.0003137457433673554,0.005113950806523659,2,"['pcm_fftmag_spectralvariance_sma_lpgain', 'pcm_fftmag_spectralvariance_sma_de_lpgain']"
feature_92993,0.0003328670631518539,0.00301530088140467,1,['pcm_fftmag_spectralvariance_sma_lpgain']
feature_93465,0.0003878796306900218,0.0026936846127754155,2,"['pcm_fftmag_spectralvariance_sma_lpgain', 'pcm_fftmag_spectralvariance_sma_de_lpgain']"
feature_31067,0.00040548352506177655,0.008223358076940523,2,"['pcm_fftmag_spectralvariance_sma_lpgain', 'pcm_fftmag_spectralvariance_sma_de_lpgain']"
feature_41055,0.0004730379887738007,0.007923130239476994,2,"['pcm_fftmag_spectralvariance_sma_lpgain', 'pcm_fftmag_spectralvariance_sma_de_lpgain']"
feature_97204,0.0004849703962121205,0.001244358155593761,1,['pcm_fftmag_spectralvariance_sma_lpgain']
feature_141090,0.0005684403786791901,0.015445840240742914,2,"['pcm_fftmag_spectralvariance_sma_lpgain', 'pcm_fftmag_spectralvariance_sma_de_lpgain']"
feature_14488,0.0005724645517394958,0.0,0,[]
feature_147608,0.00057686239018796,0.010277888050465589,2,"['pcm_fftmag_spectralvariance_sma_lpgain', 'pcm_fftmag_spectralvariance_sma_de_lpgain']"
feature_120495,0.0006646290958482065,0.0038982479162201766,1,['pcm_fftmag_spectralvariance_sma_lpgain']
