id,feature_529,feature_533,feature_2076,feature_4089,feature_4283,feature_7902,feature_10682,feature_10843,feature_12383,feature_14488,feature_18489,feature_20666,feature_20678,feature_21924,feature_22686,feature_23074,feature_25912,feature_28332,feature_28413,feature_30181,feature_31067,feature_35902,feature_38422,feature_41055,feature_41208,feature_41525,feature_41885,feature_42545,feature_42929,feature_44044,feature_47595,feature_50448,feature_50452,feature_50460,feature_50934,feature_51807,feature_55460,feature_90249,feature_90371,feature_90397,feature_90702,feature_92993,feature_93465,feature_97204,feature_100226,feature_100554,feature_103304,feature_110372,feature_116707,feature_118278,feature_120495,feature_120634,feature_123357,feature_127153,feature_140314,feature_140477,feature_141090,feature_141829,feature_143867,feature_145530,feature_147608
1048_WSI_DIS_XX_seg1,0.023386933,0.083016545,0.013569105,0.0,0.0,0.0,0.09498689,0.02315283,0.0096129095,0.06563457,0.0124331545,0.16549273,0.17063317,0.010343007,0.02790631,0.0,0.07665506,0.120268166,0.130041,0.030768644,0.040951192,0.049600042,0.097112596,0.03655825,0.018416403,0.0801268,0.055991683,0.032918207,0.053837847,0.050096944,0.022112982,0.20134231,0.17823644,0.0,0.099401966,0.03292543,0.04336902,0.2926842,0.2711227,0.19380306,0.1914102,0.013728364,0.01857767,0.008951963,0.031956486,0.15014085,0.009715257,0.41787696,0.022659048,0.041462187,0.028197289,0.013729608,0.008549838,0.026336424,0.09619523,0.060664393,0.02082976,0.027110009,0.026119826,0.07176505,0.0
1006_ITS_FEA_XX_seg0,0.09149057,0.109925866,0.014048457,0.0,0.039970044,0.012654278,0.099004515,0.028929817,0.0071862433,0.13238466,0.038038656,0.056765072,0.27160904,0.036736634,0.08106402,0.06692194,0.043959167,0.08232293,0.11899595,0.04290111,0.0581625,0.035753835,0.19913703,0.03746894,0.053379327,0.0,0.044569716,0.05499426,0.029391842,0.06449415,0.010304178,0.12168918,0.25753483,0.23121741,0.12818334,0.07630518,0.011978482,0.23928311,0.23764189,0.0037370408,0.19965167,0.0027202498,0.016910022,0.04544889,0.10775949,0.13784282,0.023952821,0.3306903,0.015055546,0.03643468,0.026027173,0.024236456,0.00929024,0.080102295,0.0,0.09654487,0.01595704,0.013301918,0.014652344,0.061416104,0.0
1005_ITH_HAP_XX_seg1,0.010143642,0.11885105,0.019614896,0.0,0.012437692,0.0,0.09631645,0.021609375,0.01672599,0.06563457,0.030432431,0.06828907,0.12750062,0.20188147,0.028039603,0.0,0.01806935,0.13234761,0.12062979,0.0072991694,0.0111899525,0.035574485,0.13061732,0.05563624,0.025228085,0.01722577,0.029775636,0.0,0.015065365,0.015225587,0.034890197,0.09596562,0.082262576,0.24427633,0.085584104,0.03720795,0.044261303,0.2820077,0.20940721,0.10544094,0.20165162,0.066391595,0.06489519,0.000190126,0.13706845,0.12244227,0.016092198,0.38677981,0.0,0.027497847,0.019896239,0.034261033,0.028550714,0.071764976,0.0,0.15059938,0.034520097,0.040069837,0.010466092,0.07176505,0.0
1014_IWL_NEU_XX_seg0,0.10993553,0.06515357,0.0003701025,0.0,0.0,0.02436768,0.15563463,0.054355305,0.02370383,0.06563457,0.028523875,0.040550027,0.08444384,0.08846513,0.030230088,0.0,0.044082865,0.014517787,0.08853526,0.02035736,0.032464243,0.07994148,0.17645733,0.004147228,0.018138211,0.015700392,0.06537408,0.07562293,0.033291593,0.018988634,0.017310236,0.20904946,0.2715249,0.26188058,0.13161822,0.117449276,0.009684164,0.28316683,0.2882352,0.10444165,0.2424933,0.0,0.0,0.037091963,0.112150356,0.057498485,0.013767124,0.0,0.0,0.01891711,0.0,0.0705857,0.0,0.07518164,0.062135354,0.046069257,0.03841256,0.0,0.0,0.07176505,0.05588636
1028_IOM_ANG_XX_seg1,0.022358261,0.049463555,0.0,0.0,0.0,0.0,0.11992001,0.0,0.0,0.06563457,0.021629779,0.1615995,0.04840109,0.13234761,0.13234761,0.0,0.061229717,0.13234761,0.15454268,0.015699103,0.0618636,0.0618636,0.0005378585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12065264,0.18633328,0.2618851,0.21908028,0.059375122,0.15850802,0.26832625,0.27527684,0.11896802,0.50534064,0.02858997,0.0,0.0006092979,0.2067183,0.01211354,0.0,0.058648854,0.32637215,0.0,0.0014940872,0.10964034,0.028550714,0.041501477,0.004899116,0.056761142,0.0,0.0,0.0,0.07176505,0.0
1046_WSI_DIS_XX_seg1,0.023386933,0.08265585,0.0,0.0,0.0,0.0,0.09498689,0.01736387,0.0,0.06982664,0.021629779,0.16549273,0.17063317,0.13234761,0.13234761,0.0,0.08157348,0.13234761,0.17538312,0.030768644,0.029928952,0.07477339,0.0005378585,0.004953168,0.021230755,0.33593804,0.0,0.0,0.33683798,0.0,0.0,0.20134231,0.19304155,0.0,0.21537782,0.05903451,0.15850802,0.2926842,0.2711227,0.19380306,0.43165648,0.02523688,0.023785397,0.0,0.031956486,0.15014085,0.0,0.41787696,0.0590949,0.07120984,0.035150915,0.04265318,0.028550714,0.025788344,0.09619523,0.060664393,0.0,0.0037484681,0.0,0.10261744,0.0
1028_IOM_NEU_XX_seg1,0.04988646,0.06443909,0.0,0.0,0.0,0.0,0.13828626,0.0,0.0,0.06517334,0.021629779,0.046118397,0.029307486,0.13234761,0.13234761,0.0,0.46259394,0.13234761,0.15454268,0.016863832,0.0618636,0.0618636,0.0005378585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23873948,0.21313465,0.17140943,0.28762153,0.21787246,0.0,0.15850802,0.24571535,0.2882352,0.0618512,0.49457324,0.0,0.0,0.0,0.13240086,0.036261775,0.0,0.0,0.0,0.0,0.0,0.10572464,0.028550714,0.03109554,0.0735737,0.056189276,0.0,0.0,0.0,0.05132027,0.0
1072_TIE_FEA_XX_seg0,0.09149057,0.23167852,0.015356082,0.0,0.0,0.0024691205,0.099004515,0.027743816,0.0040293406,0.06563457,0.029308153,0.056765072,0.27160904,0.0492902,0.041442364,0.061471254,0.04798404,0.034294847,0.10340522,0.04290111,0.012438854,0.015420089,0.1809668,0.020618431,0.019749662,0.025409821,0.038917623,0.049149618,0.116063625,0.03721131,0.033626396,0.12168918,0.14652479,0.23121741,0.13272291,0.04840688,0.052010033,0.23928311,0.23764189,0.0037370408,0.2033228,0.037328064,0.0,0.04700691,0.10775949,0.13784282,0.03920862,0.3306903,0.024284285,0.022610152,0.031300277,0.024236456,0.027942328,0.09229845,0.0,0.09654487,0.011164622,0.00071880565,0.03215697,0.07176505,0.05868675
1002_TIE_SAD_XX_seg1,0.02249109,0.07415521,0.01636613,0.0076729236,0.015714964,0.0,0.12536775,0.0,0.022393398,0.1584898,0.021629779,0.075900845,0.12750062,0.13234761,0.006328303,0.08895304,0.06568882,0.13234761,0.084467605,0.021125972,0.012731341,0.0,0.13047697,0.027459033,0.051896032,0.0123741,0.3529676,0.0,0.005924611,0.023390103,0.00088842044,0.20134231,0.18410859,0.18257225,0.21537782,0.042839482,0.15850802,0.2820077,0.2711227,0.2300647,0.16420373,0.025450159,0.0,0.0,0.1594282,0.12244227,0.007725007,0.38677981,0.011708502,0.028564854,0.004292041,0.0056369216,0.028550714,0.06734909,0.03017278,0.07499174,0.040477287,0.03563376,0.032140158,0.06907663,0.007900483
1087_MTI_HAP_XX_seg0,0.010066482,0.031682428,0.0,0.0050581577,0.017218117,0.0,0.06889144,0.07966755,0.0,0.06563457,0.03048159,0.11144212,0.08596944,0.012131431,0.02187464,0.0,0.018267144,0.097717844,0.09796987,0.01364656,0.04546569,0.027666686,0.13264607,0.05728128,0.0,0.047097854,0.031132933,0.060997214,0.037028298,0.01680879,0.030578237,0.087880984,0.24469088,0.31517133,0.08913425,0.079153866,0.07680948,0.26561382,0.20940721,0.22108872,0.19240683,0.0,0.0,0.04013477,0.19978335,0.06223775,0.0080859335,0.05223661,0.023664705,0.017527068,0.06325093,0.04944503,0.021878013,0.06558381,0.09995316,0.12717606,0.038276944,0.026070505,0.0071091605,0.07176505,0.037103206
